categorie,montant_2024,montant_2025,total,nb_2024,nb_2025,nb_total,pct_total
Client - ALTH,165599.89,187952.59,353552.48,6,7,13,16.4
Client - KUEH,156780.0,174840.0,331620.0,12,11,23,15.4
Client - OVIE,214361.54,9913.92,224275.46,8,2,10,10.4
Encaissement commercial non rapproché,102577.61,107833.16,210410.77,5,4,9,9.7
Client - GREE,115099.42,12531.67,127631.09,3,1,4,5.9
Client - NOUV,107489.91,0.0,107489.91,1,0,1,5.0
Client - BIDA,62256.95,34240.46,96497.41,3,1,4,4.5
Client - ONEL,30814.7,58820.06,89634.76,1,3,4,4.2
Client - MARG,59640.0,29812.34,89452.34,3,3,6,4.1
Client - TEKS,63842.48,0.0,63842.48,1,0,1,3.0
Client - APPE,29190.0,15540.0,44730.0,2,1,3,2.1
Client - G1BE,42280.27,0.0,42280.27,1,0,1,2.0
Client - MEGA,40320.0,0.0,40320.0,1,0,1,1.9
Client - GACM,12999.99,26400.0,39399.99,3,2,5,1.8
Client - AGEO,38967.85,0.0,38967.85,2,0,2,1.8
Client - MGEF,0.0,35943.61,35943.61,0,1,1,1.7
Client - EVEN,20400.0,10800.0,31200.0,2,1,3,1.4
Client - AYM,29400.0,0.0,29400.0,2,0,2,1.4
Client - SPAR,0.0,28239.15,28239.15,0,2,2,1.3
Client - SALE,0.0,21700.0,21700.0,0,5,5,1.0
Client - GROU,0.0,18000.0,18000.0,0,6,6,0.8
Client - VIV,0.0,18000.0,18000.0,0,3,3,0.8
Client - TALA,17655.16,0.0,17655.16,2,0,2,0.8
Client - BTCO,0.0,14400.0,14400.0,0,4,4,0.7
Client - ORHG,12000.0,0.0,12000.0,6,0,6,0.6
Apport / dépôt interne,7300.0,4400.0,11700.0,4,2,6,0.5
Client - KIRE,10667.1,0.0,10667.1,1,0,1,0.5
Client - MBS,2688.74,0.0,2688.74,1,0,1,0.1
Client - AICR,0.0,2500.0,2500.0,0,1,1,0.1
Client - RDMA,0.0,2160.0,2160.0,0,1,1,0.1
Client - WINN,0.0,1080.0,1080.0,0,1,1,0.1
Client - HACK,0.0,960.0,960.0,0,1,1,0.0
